Rating,Device,Comments
5,Chromebook,"This app keeps track of when yofasting and when your not fasting. It also has tips and tells you the symtoms. While you fasting, it shows your progress and shows you when you are starting to lose weight. 10/10. This app is free and i love it! I hope they  make it Withholded in the future! AMAZING app!"
1,Chromebook,This seems to be far too ridgid for practical use. I started fasting at 6:30 pm today but I didn't get to my computer until 7:15 pm. As far as I can tell there's no way to enter the actual time you started fasting again if you don't enter it at that exact moment. No one is actually that dumb are they? poorly off to find a more realististic and flexible tool.
3,Chromebook,"Love this app overall, but I feel it can use some improvments like account syncing. I would love if the app synced across all my devices so I can keep track of my status."
3,Chromebook,i really wanted to get fit so i downloaded some apps this was one of the i have only had it for 3 days and it was my first time fasting. I forgot what i was doing so i started to eat. i rememberd after i ate i was suposed to be fasting. so i clicked stop fasting and put when i stopped eating i went back and it didnt stop it i tried to put it in a few nore times it dosent work.
5,Chromebook,I believe its a good app i will get it on my phone but im giving it a 5 star bc i trust this app also the revs are kinda good but i will get it on my phone tmmrw i rlly hope i become healthy when i go on it!
5,Chromebook,"i really like it! ive just started, but it helped alot on my 26 hour fast."
5,Chromebook,Great and very useful!! I Love that it gives yu the option to cutomize your Fasting hours
5,Chromebook,it is a really helpful app and keeps you motivated throughout the process.
3,Chromebook,Starting in times keep changing and Icon for app disappears after one day
5,Chromebook,Great app to keep track of intermittent fasting
5,Chromebook,i was wondering how long i fast each day and now i know
5,Chromebook,This app is great. Now I can learn how to eat less lol.
1,Chromebook,it was bad at first but then after a few mins it wass telling me thet i overlapsed and that the thime was gone it dosent gie you the proper time anyway
5,Chromebook,"i love the app,just i was tempted,but i made it through 16 hours of fasting,im86 lbs wishing to be 70"
5,Chromebook,REally easy and fun too use
5,Chromebook,Amazing! Best Fasting App Ever!
5,Chromebook,This worked super good I reached my goal I recommend this to all my friends
5,Chromebook,"my fav so far, i love how it tells you which phase of fasting you're in"
5,Chromebook,it was very nice but i was hungry
5,Chromebook,great app for learning
5,Chromebook,It's a good app and I love it
5,Chromebook,It tells me to drink water because never drink water
1,Chromebook,before it was compatibe for my laptop now it isnt
5,Chromebook,im only doing the app for religous purposes
5,Chromebook,it helps i have a sixpack now
5,Chromebook,they understand me and i  feel like im geting juged
5,Chromebook,i like it
5,Chromebook,pretty good
5,Chromebook,good
5,Chromebook,better
5,Chromebook,very helpful
5,Chromebook,hi ashtac
5,Chromebook,Great app!!
5,Chromebook,AMAZING
5,Chromebook,good app
1,Phone,"Actual fasting history is buried in a sub menu (under the Menu > ""Me"" > ""Timeline"") when it's the main thing I . UI is messy with pictures of people and random links on top of the basic fasting monitorer interface."
1,Phone,"2 years ago this was a terrible app I fasted for over a year 20 hours a day , the app was helpful and easy to use Now, I had to stop using it because of the advertising, this is a fasting app and everytime I open it there is usually a Domino's advertisement or some other food. I understand you need advertisements to make money, but food commercials for people that are fasting? Come.on, who's in charge of this app?"
1,Phone,"Beware: They don't let you hold your  choice for more than a week. You will have to constantly let the app know you  to hold your  every week even though you are not interested in changing it. I get that they  you to engage with the app, but from the POV of the consumer, they are making us work and waste our precious time. They would argue that you can save the  but you still need to take unnecessary actions. I am not willing to hold an app that makes me waste my time."
1,Phone,SKETCHY. Downloaded this app and logged in with my Google account. Suddenly I started receiving sketchy emails and spam text messages. One of the emails stated that my credit card got disconnected from Google Pay. This all happened within 3 hours I've used the app and while having no other activities on my phone since I was working out and working. Can't trust this app.
1,Phone,"Years ago the app was nowhere near as ad infested as now, yet I had no problem buying premium even when I wasn't using premium features. Now it's even hard to navigate the app because ads take half a screen. It seems there was ZERO feature innovation too, so I'm wondering what makes you think it's ok to do that on a TIMER app. I'm not paying for premium in spite of these scummy practices and now this app goes to trash. There are so much better timer apps"
1,Phone,Do not pay for this app. It's not terrible. When I signed up I must've missed the fine print after the you can cancel anytime! line that said I won't receive a refund. That's terrible. It's been a few days. I've never had an app that didn't give a refund.
1,Phone,"End fasting doesn't always work. annoying. I press end fast and confirm Yes. When I come back after eating window, the app is still in fasting and asks me if I  to end fast. monitoring fasting and eating are the only features I need This app is failing with those tasks."
1,Phone,This is the most abnoxious app on my phone. I bought the full version and now it holds trying to upsell me to a subscription. And I fracking hate it! Please add an option in setting to disable subscriptions upsell spam. Every time I see it it makes me hate the app a little more. I definitely cannot recommend the app to anyone and even if I paid for it am actively looking for a better alternative.
1,Phone,"oops, accidentally deleted my review when trying to update it. anyways: it shows too many ads, but i have more issues with this app: it  s you to click End Fast while taking the first bite. let's say youre heating your food for 1:30 minute, so you open the app to end the fasting in one minute. Nope. you cannot end it in this next minute. you HAVE to wait the time to be correct for it to accept. idk man i just  dont like this app lmao"
1,Phone,"I checked recent reviews to see if it was just me and apparently it is but I am constantly having to re-enter the time that I started fasting. I enter it, it starts the timer, everything seems to be working right. Maybe an hour or so later I see that it tells me that I'm still in the eating period. I told you I'm fasting! So I go back in I reenter it rinse repeat over and over"
1,Phone,"Has been fine for a while, but now you have to watch a 20 or 30 second ad every time you open the app. I'm typically only in there for a few seconds to update my timer. Not worth my time. Deleting and finding something else."
1,Phone,"I am being charged a subscription fee for this app. Not only have I not subscribed or consented to this subscription, I didn't even know there was/is a subscription option! And I don't see anywhere in the settings to cancel or even view the subscription."
1,Phone,"I'm fine with ads, but you ap developers need to regulate how ads function. Fullscreen ads with no way of getting out of them or making it extremely difficult to close leading to accidentally opening a website screams scam."
1,Phone,Too many ads that you can't skip (I mean minutes long) to even open the app. Looking for another app.
1,Phone,Be sure to cancel poorly in advance if you don't  to renew! I canceled my subscription a week prior to renewal and was still charged for another year!
1,Phone,Too many ads. Makes you sit through a 1 min ad every time you open the app. Ridiculous.
1,Phone,"BEWARE: The dev does not give notice if you are subscribed and charges you, you will only find out after looking at your bank. no email saying this is about to be charged. no invoices, no communication. It is impossible to get a refund. DO NOT paid TRIAL OR SUB, maybe don' t even download. Don't bother with subscription. I was hoping for meal s but only a hand full of recipes(no ning day by day), the extra information is not worth a sub that and more can be found on YT."
1,Phone,"Don't mind some adds but this is rediculous, makes the app almost unusable and would not consider purchase if this is how they operate. Update: Uninstalled, a short add or 2 is fine, they run 30 second plus adds. Makes app unusable. Avoid this and try something else."
1,Phone,"Ads are too frequent and too long. The photo ads that appear each time you open the app are acceptable, but those video ads where you have to wait five seconds to close them are a true test of patience."
1,Phone,can't get in too many ads that won't go away and if I close the app and open again.... another ad pops up
1,Phone,"Re: in-ter-mit-tent, adj., occurring at irregular intervals; not continuous or steady."
1,Phone,Add pop out every time I open it and try to log. Waiting time to close the app is even longer than the time I log my data. I ended up spending lots of time waiting to close the ads every day. It's very time consuming and annoying.
1,Phone,Incredibly long to boot up and lots of long ads just to pull up fasting timer.
1,Phone,"Using it for 55 days ,off last week it started paidzing, I uninstalled and reinstalled it lost all data despite it syncing,shows no badges, no awards this is frustrating."
1,Phone,"If you  a simple way to monitor a fasting option, this one will nickel and dime you. monitoring 1 meal a day fasting is a paid option, which is absurd."
1,Phone,"Nah fam. With the newest update, I can't set my own eating period unless I go paid. Rather, you purposefully made it more cumbersome to do so as I would need to change it every day? 5 star to 1 star, just like that. I'm uninstalling and finding a better app."
1,Phone,"It's ok to have ads, it's not ok to have LONG ads. More than 30 sec ad just to click a button? What happened to this app...."
